品名,最低价,平均价,最高价,规格,产地,单位,发布日期
大白菜,0.7,0.9,1.1,,冀陕辽,斤,2021-12-10 00:00:00
娃娃菜,1.0,1.1,1.2,大,冀豫,斤,2021-12-10 00:00:00
小白菜,1.3,1.45,1.6,,,斤,2021-12-10 00:00:00
圆白菜,1.5,1.75,2.0,暄,冀,斤,2021-12-10 00:00:00
圆白菜,1.1,1.15,1.2,扁\露地,鄂,斤,2021-12-10 00:00:00
紫甘蓝,1.4,1.45,1.5,精选,宁云,斤,2021-12-10 00:00:00
芹菜,1.4,1.6,1.8,,鲁,斤,2021-12-10 00:00:00
西芹,3.8,4.15,4.5,,辽,斤,2021-12-10 00:00:00
菠菜,1.8,2.15,2.5,精选,蒙,斤,2021-12-10 00:00:00
莴笋,1.0,1.35,1.7,净,冀,斤,2021-12-10 00:00:00
团生菜,2.0,2.5,3.0,毛筐\净,冀,斤,2021-12-10 00:00:00
散叶生菜,2.4,2.5,2.6,毛\净,京辽,斤,2021-12-10 00:00:00
罗马生菜,2.3,2.35,2.4,,冀,斤,2021-12-10 00:00:00
油菜,0.8,1.2,1.6,,冀,斤,2021-12-10 00:00:00
香菜,2.5,3.25,4.0,,冀,斤,2021-12-10 00:00:00
茴香,2.5,2.75,3.0,,冀,斤,2021-12-10 00:00:00
韭菜,3.5,3.85,4.2,,粤冀,斤,2021-12-10 00:00:00
苦菊,3.5,4.0,4.5,,辽,斤,2021-12-10 00:00:00
油麦菜,3.5,3.75,4.0,,辽,斤,2021-12-10 00:00:00
黄心菜,0.8,1.0,1.2,,皖,斤,2021-12-10 00:00:00
菜花,3.0,3.1,3.2,,鄂,斤,2021-12-10 00:00:00
散菜花,3.6,4.3,5.0,精选,冀甘陕,斤,2021-12-10 00:00:00
绿菜花,3.0,3.4,3.8,,鲁豫苏,斤,2021-12-10 00:00:00
绿豆芽,0.95,0.98,1.0,,,斤,2021-12-10 00:00:00
黄豆芽,0.85,0.88,0.9,,,斤,2021-12-10 00:00:00
番茄,1.5,2.15,2.8,黑框,蒙,斤,2021-12-10 00:00:00
番茄,2.7,3.0,3.3,白框,鲁蒙冀,斤,2021-12-10 00:00:00
黄瓜,1.7,2.45,3.2,袋\箱,鲁辽云,斤,2021-12-10 00:00:00
黄瓜,3.3,3.45,3.6,鲜干花,冀,斤,2021-12-10 00:00:00
小黄瓜,5.0,5.2,5.4,旱\荷兰,辽,斤,2021-12-10 00:00:00
茄子,1.8,2.3,2.8,精选,冀鲁云,斤,2021-12-10 00:00:00
长茄,1.5,1.75,2.0,精选,鲁辽,斤,2021-12-10 00:00:00
广茄,1.5,2.15,2.8,,粤,斤,2021-12-10 00:00:00
线茄,2.0,3.0,4.0,精选,冀鲁,斤,2021-12-10 00:00:00
冬瓜,1.4,1.5,1.6,吊,辽桂,斤,2021-12-10 00:00:00
冬瓜,1.0,1.05,1.1,地,苏,斤,2021-12-10 00:00:00
毛冬瓜,1.4,1.5,1.6,长条\小个,冀豫,斤,2021-12-10 00:00:00
架豆,3.6,4.0,4.4,,冀,斤,2021-12-10 00:00:00
豆王,2.7,3.35,4.0,精选,云冀,斤,2021-12-10 00:00:00
扁豆,3.2,3.65,4.1,精选,冀,斤,2021-12-10 00:00:00
